wap,importance
WAP087,0.012908114387684001
WAP117,0.012482494713840744
WAP132,0.011721193639873197
WAP501,0.01159904118355838
WAP138,0.011315669061537113
WAP139,0.01092042280761551
WAP080,0.010586641698088992
WAP047,0.010521180756933084
WAP075,0.010408916714000512
WAP051,0.010266779160209535
WAP118,0.010241505367604277
WAP065,0.009519693913201633
WAP161,0.009468770957377597
WAP052,0.009439628634152632
WAP131,0.009149202645777545
WAP162,0.009147448915002175
WAP121,0.009123475777813394
WAP145,0.009097847411786309
WAP122,0.009072334890512556
WAP081,0.008987080194750611
WAP048,0.00893919069851175
WAP043,0.008771485035422926
WAP144,0.008711966436070109
WAP066,0.008526739449235042
WAP481,0.008517434815170212
WAP496,0.008496437049970905
WAP034,0.008370689036229997
WAP014,0.008286178659406784
WAP013,0.008236730561844402
WAP155,0.008165945826814146
