model,n_components,accuracy,balanced_accuracy,macro_f1,weighted_f1,fit_seconds
logistic_regression,2,0.252025202520252,0.24592257342358595,0.20248374797855917,0.23021984849649246,0.6412705830298364
knn,2,0.3069306930693069,0.30370521458121014,0.2771123088686923,0.3153379335113868,0.04163062502630055
logistic_regression,5,0.38163816381638166,0.4283318395101858,0.3635861483450362,0.37868441165195116,1.1292797909118235
knn,5,0.459045904590459,0.5065020852305522,0.46357571295937916,0.45838004415857153,0.038173875072970986
logistic_regression,10,0.5760576057605761,0.6231905422956572,0.5798055823457593,0.5810096200778516,1.2516730830539018
knn,10,0.5814581458145814,0.6257101310848452,0.6006848950867523,0.5842713386854852,0.038125916849821806
logistic_regression,20,0.7704770477047704,0.7956399768496621,0.7582343964355694,0.7754157918254254,0.7358532920479774
knn,20,0.7902790279027903,0.7842960068733831,0.776413244513416,0.791980243782812,0.03884341707453132
logistic_regression,30,0.8307830783078308,0.8263820605290214,0.8144185242635191,0.8315289977178582,0.7058087079785764
knn,30,0.8136813681368137,0.7988861319078051,0.7957855826037583,0.8145010400376042,0.034852667013183236
logistic_regression,50,0.8667866786678667,0.8704140155573978,0.856144411623452,0.868648507616197,0.5580698330886662
knn,50,0.8172817281728173,0.8037173465241292,0.8004695165565413,0.8181010257380706,0.037936124950647354
logistic_regression,75,0.8613861386138614,0.872053636418036,0.8593602463188417,0.8617097903582231,0.37415275000967085
knn,75,0.8154815481548154,0.8043309123525856,0.799104802741623,0.8165738762842114,0.035577625036239624
logistic_regression,100,0.8721872187218722,0.8772974589345685,0.8667544890321133,0.8718533167434033,0.3011065418832004
knn,100,0.81998199819982,0.8117635789696025,0.8082631317811484,0.8214955479510289,0.03531833295710385
